Wall time,Step,Value
1671582728.5702274,8704,86.79503631591797
1671582729.714581,9216,86.79503631591797
1671582730.8424678,9728,86.79503631591797
1671582731.9913394,10240,84.76144409179688
1671582733.117673,10752,84.25875854492188
1671582734.2262113,11264,83.88297271728516
1671582735.368275,11776,83.09864044189453
1671582736.5229664,12288,83.09864044189453
1671582737.6845863,12800,82.71651458740234
1671582738.819725,13312,81.97633361816406
1671582739.969157,13824,81.97633361816406
1671582741.1186686,14336,81.6686019897461
1671582742.2576358,14848,81.6686019897461
1671582743.37199,15360,81.6686019897461
1671582744.5444603,15872,81.6686019897461
1671582745.7248585,16384,81.11425018310547
1671582746.8911698,16896,79.92088317871094
1671582748.032252,17408,79.16397094726562
1671582749.1219566,17920,78.24899291992188
1671582750.2891643,18432,77.60601043701172
1671582751.4256518,18944,77.32673645019531
1671582752.5604956,19456,77.32673645019531
1671582753.6743467,19968,76.78008270263672
1671582754.7815866,20480,75.9084701538086
1671582755.9373515,20992,75.65624237060547
1671582757.0634267,21504,75.65624237060547
1671582758.2157235,22016,75.68252563476562
1671582759.3835065,22528,75.68252563476562
1671582760.5325246,23040,75.96804809570312
1671582761.6605067,23552,75.71704864501953
1671582762.7815516,24064,75.92841339111328
1671582763.9293718,24576,76.8466796875
1671582765.0773098,25088,77.3790283203125
1671582766.199082,25600,77.3790283203125
1671582767.3500922,26112,77.60025024414062
1671582768.5110528,26624,77.9149398803711
1671582769.6520772,27136,78.42609405517578
1671582770.8305783,27648,78.42609405517578
1671582771.9674163,28160,78.71609497070312
1671582773.0647519,28672,78.86761474609375
1671582774.1736343,29184,79.05823516845703
1671582775.2809582,29696,79.4652099609375
1671582776.4383407,30208,79.61735534667969
1671582777.5467386,30720,79.92436981201172
1671582778.6962154,31232,80.0699462890625
1671582779.8443208,31744,80.31281280517578
1671582781.0372233,32256,80.5932388305664
1671582782.1756217,32768,80.87944793701172
1671582783.3162963,33280,80.95745086669922
1671582784.422896,33792,81.49372863769531
1671582785.593681,34304,81.866943359375
1671582786.7327182,34816,82.29118347167969
1671582787.8989747,35328,82.34098052978516
1671582789.0834107,35840,82.43706512451172
1671582790.1965575,36352,82.67315673828125
1671582791.31096,36864,82.8167953491211
1671582792.4454677,37376,82.84721374511719
1671582793.6273074,37888,82.90922546386719
1671582794.7731082,38400,83.15460968017578
1671582795.9225612,38912,83.21839141845703
